Date,Tempreture
2017-Jun,15.6
2017-Jul,16.4
2017-Aug,16.1
2017-Sep,12.5
2017-Oct,9.3
2017-Nov,4.6
2017-Dec,2.9
2018-Jan,1.8
2018-Feb,-2.5
2018-Mar,-1.0
2018-Apr,8.0
2018-May,16.8
2018-Jun,18.2
2018-Jul,21.2
2018-Aug,17.7
2018-Sep,13.6
2018-Oct,9.0
2018-Nov,4.8
2018-Dec,2.8
2019-Jan,0.6
2019-Feb,2.7
2019-Mar,4.2
2019-Apr,8.0
2019-May,10.8
2019-Jun,17.9
2019-Jul,17.6
2019-Aug,17.4
2019-Sep,12.8
2019-Oct,8.4
2019-Nov,5.2
2019-Dec,4.0
2020-Jan,4.9
2020-Feb,3.6
2020-Mar,3.2
2020-Apr,7.3
2020-May,11.1
2020-Jun,18.2
